source,stage,name,description,url,code_url,paper_url,categories,year,license,repo,stars,also_in
curated,target-id,Open Targets Platform,"Target-disease association evidence aggregated from genetics, omics, literature and known drugs; the standard first stop for target triage.",https://platform.opentargets.org,,,target-validation; genetics,,free-web,,,biotools
curated,target-id,DepMap,"Genome-wide CRISPR and RNAi essentiality across ~1,100 cancer cell lines, plus expression, mutation and drug-sensitivity data.",https://depmap.org/portal/,,,essentiality; cancer,,free-web,,,
curated,target-id,Pharos / TCRD,NIH IDG portal ranking the druggable genome by how well each target is studied (Tclin/Tchem/Tbio/Tdark).,https://pharos.nih.gov,,,druggability,,free-web,,,
curated,target-id,UniProt,Reference protein sequence and functional annotation; the identifier backbone every other resource maps to.,https://www.uniprot.org,,,sequence; annotation,,free-web,,,
curated,target-id,Ensembl,"Genome annotation, variation, comparative genomics and the BioMart/REST query layer over them.",https://www.ensembl.org,,,genomics,,free-web,,,
curated,target-id,Human Protein Atlas,"Tissue, single-cell, subcellular and pathology protein expression maps; used to check target expression and off-tissue risk.",https://www.proteinatlas.org,,,expression; tissue,,free-web,,,
curated,target-id,GTEx Portal,Bulk and single-nucleus expression and eQTL data across 50+ human tissues.,https://gtexportal.org,,,expression; eqtl,,free-web,,,
curated,target-id,cBioPortal,"Interactive exploration of large-scale cancer genomics studies (mutation, CNA, expression, survival).",https://www.cbioportal.org,https://github.com/cbioportal/cbioportal,,cancer; genomics,,open-source,cbioportal/cbioportal,,
curated,target-id,STRING,"Protein-protein association networks combining experiments, co-expression, text mining and orthology transfer.",https://string-db.org,,,ppi; network,,free-web,,,
curated,target-id,BioGRID,"Curated protein, genetic and chemical interactions from primary literature.",https://thebiogrid.org,,,ppi,,free-web,,,
curated,target-id,OmniPath,"Unified signalling network: pathways, enzyme-substrate, complexes and annotations from 100+ resources, with a Python client.",https://omnipathdb.org,https://github.com/saezlab/pypath,,network; signalling,,open-source,saezlab/pypath,,
curated,target-id,Reactome,Peer-reviewed pathway database with pathway enrichment and network analysis tools.,https://reactome.org,,,pathway,,free-web,,,
curated,target-id,KEGG,"Pathway, disease and drug maps; free for academic web use, licensed for bulk download.",https://www.genome.jp/kegg/,,,pathway,,academic,,,
curated,target-id,GSEA / MSigDB,Gene set enrichment analysis and the curated hallmark/canonical gene set collections behind it.,https://www.gsea-msigdb.org/gsea/index.jsp,,,enrichment; gene-sets,,free-web,,,
curated,target-id,Enrichr,"Fast web enrichment against 200+ gene set libraries, with an API.",https://maayanlab.cloud/Enrichr/,,,enrichment,,free-web,,,
curated,target-id,g:Profiler,"Functional enrichment, ortholog mapping and ID conversion with a stable versioned API.",https://biit.cs.ut.ee/gprofiler/gost,,,enrichment,,free-web,,,
curated,target-id,DisGeNET,Gene-disease and variant-disease association collection used for target-indication rationale.,https://disgenet.com,,,disease-association,,free-web,,,
curated,target-id,GeneCards,Aggregated gene-centric annotation across ~150 sources; free for academic browsing.,https://www.genecards.org,,,annotation,,academic,,,
curated,structure,RCSB PDB,"The experimental structure archive plus search, validation and ligand chemistry services.",https://www.rcsb.org,,,structures; database,,free-web,,,
curated,structure,AlphaFold Protein Structure DB,Predicted structures for 200M+ proteins with per-residue pLDDT confidence.,https://alphafold.ebi.ac.uk,,,structure-prediction; database,,free-web,,,
curated,structure,AlphaFold 3,"Joint structure prediction for proteins, nucleic acids, ligands and ions; weights are available for non-commercial use on request.",https://github.com/google-deepmind/alphafold3,https://github.com/google-deepmind/alphafold3,,structure-prediction; complexes,,academic,google-deepmind/alphafold3,,
curated,structure,Chai-1,"Open multimodal biomolecular complex prediction model, free for commercial use.",https://github.com/chaidiscovery/chai-lab,https://github.com/chaidiscovery/chai-lab,,structure-prediction; complexes,,open-source,chaidiscovery/chai-lab,,
curated,structure,MODELLER,Comparative/homology modelling by satisfaction of spatial restraints; free academic licence.,https://salilab.org/modeller/,,,homology-modelling,,academic,,,biotools
