name,stage,stage_label,description,url,repo,access,tags,url_status
Open Targets Platform,target-id,Target identification & validation,"Target-disease association evidence aggregated from genetics, omics, literature and known drugs; the standard first stop for target triage.",https://platform.opentargets.org,,free-web,target-validation; genetics,200
DepMap,target-id,Target identification & validation,"Genome-wide CRISPR and RNAi essentiality across ~1,100 cancer cell lines, plus expression, mutation and drug-sensitivity data.",https://depmap.org/portal/,,free-web,essentiality; cancer,200
Pharos / TCRD,target-id,Target identification & validation,NIH IDG portal ranking the druggable genome by how well each target is studied (Tclin/Tchem/Tbio/Tdark).,https://pharos.nih.gov,,free-web,druggability,200
UniProt,target-id,Target identification & validation,Reference protein sequence and functional annotation; the identifier backbone every other resource maps to.,https://www.uniprot.org,,free-web,sequence; annotation,200
Ensembl,target-id,Target identification & validation,"Genome annotation, variation, comparative genomics and the BioMart/REST query layer over them.",https://www.ensembl.org,,free-web,genomics,200
Human Protein Atlas,target-id,Target identification & validation,"Tissue, single-cell, subcellular and pathology protein expression maps; used to check target expression and off-tissue risk.",https://www.proteinatlas.org,,free-web,expression; tissue,200
GTEx Portal,target-id,Target identification & validation,Bulk and single-nucleus expression and eQTL data across 50+ human tissues.,https://gtexportal.org,,free-web,expression; eqtl,200
cBioPortal,target-id,Target identification & validation,"Interactive exploration of large-scale cancer genomics studies (mutation, CNA, expression, survival).",https://www.cbioportal.org,cbioportal/cbioportal,open-source,cancer; genomics,200
STRING,target-id,Target identification & validation,"Protein-protein association networks combining experiments, co-expression, text mining and orthology transfer.",https://string-db.org,,free-web,ppi; network,200
BioGRID,target-id,Target identification & validation,"Curated protein, genetic and chemical interactions from primary literature.",https://thebiogrid.org,,free-web,ppi,error: URLError
OmniPath,target-id,Target identification & validation,"Unified signalling network: pathways, enzyme-substrate, complexes and annotations from 100+ resources, with a Python client.",https://omnipathdb.org,saezlab/pypath,open-source,network; signalling,200
Reactome,target-id,Target identification & validation,Peer-reviewed pathway database with pathway enrichment and network analysis tools.,https://reactome.org,,free-web,pathway,200
KEGG,target-id,Target identification & validation,"Pathway, disease and drug maps; free for academic web use, licensed for bulk download.",https://www.genome.jp/kegg/,,academic,pathway,200
GSEA / MSigDB,target-id,Target identification & validation,Gene set enrichment analysis and the curated hallmark/canonical gene set collections behind it.,https://www.gsea-msigdb.org/gsea/index.jsp,,free-web,enrichment; gene-sets,200
Enrichr,target-id,Target identification & validation,"Fast web enrichment against 200+ gene set libraries, with an API.",https://maayanlab.cloud/Enrichr/,,free-web,enrichment,200
g:Profiler,target-id,Target identification & validation,"Functional enrichment, ortholog mapping and ID conversion with a stable versioned API.",https://biit.cs.ut.ee/gprofiler/gost,,free-web,enrichment,200
DisGeNET,target-id,Target identification & validation,Gene-disease and variant-disease association collection used for target-indication rationale.,https://disgenet.com,,free-web,disease-association,200
GeneCards,target-id,Target identification & validation,Aggregated gene-centric annotation across ~150 sources; free for academic browsing.,https://www.genecards.org,,academic,annotation,200
RCSB PDB,structure,Protein structure & modelling,"The experimental structure archive plus search, validation and ligand chemistry services.",https://www.rcsb.org,,free-web,structures; database,200
AlphaFold Protein Structure DB,structure,Protein structure & modelling,Predicted structures for 200M+ proteins with per-residue pLDDT confidence.,https://alphafold.ebi.ac.uk,,free-web,structure-prediction; database,200
AlphaFold 3,structure,Protein structure & modelling,"Joint structure prediction for proteins, nucleic acids, ligands and ions; weights are available for non-commercial use on request.",https://github.com/google-deepmind/alphafold3,google-deepmind/alphafold3,academic,structure-prediction; complexes,200
Chai-1,structure,Protein structure & modelling,"Open multimodal biomolecular complex prediction model, free for commercial use.",https://github.com/chaidiscovery/chai-lab,chaidiscovery/chai-lab,open-source,structure-prediction; complexes,200
MODELLER,structure,Protein structure & modelling,Comparative/homology modelling by satisfaction of spatial restraints; free academic licence.,https://salilab.org/modeller/,,academic,homology-modelling,200
SWISS-MODEL,structure,Protein structure & modelling,Automated homology modelling server with quality estimation (QMEANDisCo) and oligomeric state prediction.,https://swissmodel.expasy.org,,free-web,homology-modelling,200
MMseqs2,structure,Protein structure & modelling,Ultra-fast sequence search and clustering; the MSA engine behind ColabFold.,https://github.com/soedinglab/MMseqs2,soedinglab/mmseqs2,open-source,msa; search,200
HH-suite3,structure,Protein structure & modelling,HMM-HMM remote homology detection for hard templates and deep MSAs.,https://github.com/soedinglab/hh-suite,soedinglab/hh-suite,open-source,msa; remote-homology,200
PDBFixer,structure,Protein structure & modelling,"Repairs PDB files for simulation: missing residues and heavy atoms, non-standard residues, protonation, solvation.",https://github.com/openmm/pdbfixer,openmm/pdbfixer,open-source,preparation,200
PDB2PQR / APBS,structure,Protein structure & modelling,"Assigns titration states and charges/radii, then solves Poisson-Boltzmann electrostatics.",https://github.com/Electrostatics/apbs,electrostatics/apbs,open-source,preparation; electrostatics,200
PROPKA,structure,Protein structure & modelling,"Empirical pKa prediction for protein residues and ligands, used to set protonation before docking or MD.",https://github.com/jensengroup/propka,jensengroup/propka,open-source,preparation; pka,200
Biopython,structure,Protein structure & modelling,"General bioinformatics library: sequence and structure parsing, alignment, PDB handling.",https://biopython.org,biopython/biopython,open-source,library,200
DSSP,structure,Protein structure & modelling,Reference secondary-structure and solvent-accessibility assignment from 3D coordinates.,https://github.com/PDB-REDO/dssp,pdb-redo/dssp,open-source,secondary-structure,200
CheckMyMetal,structure,Protein structure & modelling,"Validates metal sites in deposited or refined structures against expected coordination number, geometry and donor distances. Mis-assigned metals are common; check before you build a docking model on one.",https://cmm.minorlab.org,,free-web,metals; validation; crystallography,200
